timestamp,open,high,low,close,volume
2025-10-22,57.5700,62.9100,55.8000,60.0000,164239452
2025-09-30,60.5400,63.9100,55.7150,56.7500,168049462
2025-08-29,51.9300,62.5300,50.4450,61.7800,148164318
2025-07-31,49.0950,58.3000,48.2400,53.2100,249533434
2025-06-30,48.0900,52.0800,45.2800,49.1800,188525415
2025-05-30,42.2000,53.5600,41.4400,48.3900,232763841
2025-04-30,42.3300,44.9900,34.7350,41.6300,301698425
2025-03-31,60.1100,60.6300,40.7800,43.6000,292255123
2025-02-28,65.1400,69.4500,59.0500,60.1200,149638247
2025-01-31,60.2700,69.9800,56.7300,67.2700,175284845
2024-12-31,64.0000,67.5000,58.3100,60.5000,143625729
2024-11-29,57.4900,66.2500,56.8100,63.8200,158030704
2024-10-31,50.8000,59.0900,46.9000,57.2200,211411685
2024-09-30,42.1000,52.4500,41.4835,50.7900,188733374
2024-08-30,43.3200,43.3800,37.2900,42.4900,175957803
2024-07-31,47.8100,47.9026,42.1700,43.0200,233886453
2024-06-28,51.4500,51.7000,47.0300,47.4400,137108221
2024-05-31,50.0400,53.8600,48.2800,51.0200,144119079
2024-04-30,48.5000,50.7400,45.4500,50.0700,275875017
2024-03-28,42.2000,48.0550,41.1700,47.8700,177602616
2024-02-29,39.4100,42.6950,38.6050,42.2700,162452703
2024-01-31,39.9700,42.5200,36.3400,39.1400,284970707
2023-12-29,36.9800,42.7000,36.9730,40.2300,180528395
2023-11-30,31.3900,37.2250,30.8350,36.9300,192775440
2023-10-31,36.9700,37.3300,30.6000,31.2500,258388194
2023-09-29,43.1000,43.1900,36.4100,37.0000,163816317
2023-08-31,45.7400,46.0900,41.0950,42.8800,145306219
2023-07-31,47.4400,49.8100,45.3900,46.2600,238162279
2023-06-30,36.4200,47.7300,36.0000,47.5400,266456665
2023-05-31,34.4300,36.9300,32.6823,36.3300,204209946
2023-04-28,34.4800,36.1850,32.4400,34.3100,230884866
2023-03-31,38.3400,40.3000,31.0400,34.9200,235319556
2023-02-28,38.8400,40.3400,36.6600,38.3400,141084218
2023-01-31,33.2500,39.6200,32.3350,39.1000,255054506
2022-12-30,35.4500,36.8750,31.8200,32.8600,195058731
2022-11-30,34.3300,36.0000,30.9800,35.3700,162837264
2022-10-31,27.9800,35.0800,27.2000,33.9300,269243119
2022-09-30,30.6500,33.7400,27.8000,28.0600,220569796
2022-08-31,31.7800,35.7900,31.0600,31.0700,191355020
2022-07-29,29.2300,33.0750,28.1400,31.8000,283767258
2022-06-30,42.1300,42.3000,28.0950,28.9700,341279257
2022-05-31,42.9500,43.9650,35.7000,41.6900,264798506
2022-04-29,39.6700,46.2700,36.1750,43.0300,328734678
2022-03-31,39.5000,40.2600,29.7500,39.5700,418288502
2022-02-28,39.8000,45.1400,37.4700,39.9200,265642570
2022-01-31,39.7900,42.5400,35.8750,39.6900,273755313
2021-12-31,36.8700,39.8900,33.4000,39.0800,347009114
2021-11-30,39.1500,45.5200,34.6000,36.2000,275856664
2021-10-29,43.9500,46.0000,38.8100,39.1300,246411886
2021-09-30,40.5700,45.0600,38.8000,42.6100,225971460
2021-08-31,40.0400,41.8000,37.3064,40.4400,252127579
2021-07-30,43.5000,44.5400,37.5600,39.9000,280821447
2021-06-30,48.1300,48.5400,42.5800,43.2600,228511911
2021-05-28,47.1900,48.1980,42.9350,47.6800,219844179
2021-04-30,48.5900,51.8200,43.3400,46.9200,262757372
2021-03-31,49.4700,52.2800,43.0100,48.2800,311393271
2021-02-26,38.3500,50.2000,37.4150,47.9400,252450438
2021-01-29,40.1700,42.6400,37.7400,37.9600,252867421
2020-12-31,40.7900,43.7600,38.8400,40.2100,276155159
2020-11-30,30.6200,42.1900,29.6700,40.2500,385740408
2020-10-30,30.9900,34.0400,28.7400,30.6400,365093707
2020-09-30,30.0200,35.0700,27.9200,30.5800,464976526
2020-08-31,24.8500,32.2100,24.3817,30.8500,465659764
2020-07-31,29.0200,29.8500,24.4250,24.9700,570305904
2020-06-30,25.3300,37.2400,25.0800,28.0500,1327469284
2020-05-29,24.9500,27.8500,17.5100,25.2100,1169125576
2020-04-30,26.5900,27.6000,20.7600,25.9100,1341930064
2020-03-31,46.2200,49.9700,19.1000,28.5300,821836443
2020-02-28,56.2000,60.0300,45.0300,46.1300,165180185
2020-01-31,58.9300,62.4800,55.4300,55.7400,173015984
2019-12-31,57.2500,59.9200,54.5400,58.4800,100395107
2019-11-29,55.5500,58.4300,55.1200,57.3100,105637662
2019-10-31,58.0500,58.6800,51.0700,55.0800,183232339
2019-09-30,57.4400,60.5800,56.6500,57.6000,107695454
2019-08-30,61.3100,61.7700,55.5700,57.8600,113400534
2019-07-31,57.3000,63.4400,57.2500,61.0400,145663667
2019-06-28,51.4800,57.4200,51.4100,56.7500,100206040
2019-05-31,58.2000,58.5100,51.3100,51.5000,87102758
2019-04-30,51.8200,58.9900,51.5200,58.2900,148508731
2019-03-29,49.3700,52.0800,48.2200,51.6500,166810146
2019-02-28,49.6300,52.2200,49.5400,49.5800,128871253
2019-01-31,49.2500,50.4500,45.0800,49.4300,199935882
2018-12-31,61.0000,61.0700,47.9000,49.9000,145417111
2018-11-30,54.9300,61.3200,54.7500,60.7100,131488700
2018-10-31,57.9900,58.1400,49.6800,54.7300,186772730
2018-09-28,58.5000,60.2300,55.6900,57.8300,100806677
2018-08-31,54.7900,58.8700,52.9400,58.4800,96065439
2018-07-31,49.2500,55.0500,48.5200,54.4200,150824580
2018-06-29,54.4200,55.8400,49.0500,49.5400,134357275
2018-05-31,52.2700,56.1200,51.0900,54.0500,138665761
2018-04-30,54.5900,56.0200,50.9500,52.2200,166930308
2018-03-29,53.8700,57.3100,51.8100,54.8100,135176483
2018-02-28,56.5100,57.1800,48.5200,53.9000,155326054
2018-01-31,56.2900,60.7900,53.8800,56.7700,214242269
2017-12-29,52.5500,56.8400,51.7600,56.0000,135191805
2017-11-30,50.1900,53.5000,48.3300,52.9200,118971325
2017-10-31,48.3500,54.0600,47.9000,50.0300,158447440
2017-09-29,47.4200,49.2800,44.5900,48.2200,163286293
2017-08-31,49.7800,51.5500,45.0000,47.1900,163761127
2017-07-31,54.2600,55.7500,49.2600,49.3600,159647634
2017-06-30,49.3200,54.5300,49.3000,53.7400,170152469
2017-05-31,45.5900,50.9500,45.4000,49.1300,161517253
2017-04-28,46.0000,47.5500,43.8100,45.4400,173648862
2017-03-31,50.4100,51.8650,44.4700,45.9600,215944192
2017-02-28,47.4800,51.9600,46.4800,49.9300,133418185
2017-01-31,49.3700,52.0000,46.5700,47.2400,165024024
2016-12-30,47.9600,52.7600,47.5850,49.1900,153607446
2016-11-30,41.8400,49.4100,41.5500,48.1800,205684375
2016-10-31,39.2500,42.4100,37.9100,41.7700,238841995
2016-09-30,37.0000,40.2300,36.3200,39.3600,199626997
2016-08-31,38.9200,39.5100,35.8400,36.7500,220488267
2016-07-29,36.4100,41.3500,34.0750,38.7500,235474803
2016-06-30,43.3500,43.7100,32.6000,36.4300,286388837
2016-05-31,42.1100,44.6600,40.6400,43.4600,213289627
2016-04-29,47.5000,49.8000,41.2200,41.6700,220558502
2016-03-31,48.7300,50.5000,46.0100,48.6800,179560417
2016-02-29,44.7300,49.4500,40.0300,48.2400,206988650
2016-01-29,49.4200,49.7500,42.4200,44.2900,237510575
2015-12-31,46.8100,52.7700,46.5800,50.6900,196552910
2015-11-30,50.9000,52.0000,46.3700,46.4600,161452421
2015-10-30,44.7100,51.6600,43.3500,50.8400,212328853
2015-09-30,43.6200,48.1800,43.3000,44.8700,185900421
2015-08-31,44.6800,48.3000,34.6100,43.7800,206512154
2015-07-31,41.7500,46.6400,38.8100,44.3400,241299062
2015-06-30,43.2100,44.7900,38.9700,41.0800,254242057
2015-05-29,44.8100,47.9800,41.7200,42.9200,265736415
2015-04-30,43.6700,47.3800,41.0200,44.6400,248176819
2015-03-31,45.0900,47.6300,42.6000,44.9600,250277905
2015-02-27,47.1000,48.2700,43.3500,44.5200,254874127
2015-01-30,49.9200,51.0600,44.4701,47.3100,236878262
2014-12-31,46.5500,50.1590,43.9000,49.1900,274567227
2014-11-28,40.2800,47.1900,40.2300,46.6700,222563370
2014-10-31,35.3500,40.4000,30.1200,40.2300,500860260
2014-09-30,39.8000,40.9700,35.1800,36.1500,232414791
2014-08-29,37.3800,40.7700,34.5900,39.5800,192971500
2014-07-31,39.0000,40.4100,34.7700,37.4600,317442000
2014-06-30,40.1400,42.6590,38.0400,38.7200,283535800
2014-05-30,37.0000,40.6900,36.5600,39.9100,188943700
2014-04-30,34.9300,37.4650,30.5400,36.8300,277516500
2014-03-31,32.3900,35.8500,31.9000,34.6500,243481200
2014-02-28,30.6400,33.9500,29.1200,33.2100,218743500
2014-01-31,27.2600,32.9200,27.2600,30.6100,306830600
2013-12-31,29.0000,29.4200,26.4000,27.4700,249242500
2013-11-29,26.4600,29.4350,26.0500,28.9800,263298600
2013-10-31,23.6800,26.7200,23.6300,26.3800,313710900
2013-09-30,20.0500,24.1000,19.5700,23.5900,524337300
2013-08-30,21.5300,22.0500,18.5300,19.7300,307844600
2013-07-31,18.8000,22.0100,18.3000,21.2300,200654800
2013-06-28,18.1200,19.0500,16.9400,18.7100,179688400
2013-05-31,17.2600,19.4300,16.6790,18.0100,266439500
2013-04-30,16.4300,17.3300,13.9400,17.1400,376827200
2013-03-28,14.2600,17.2500,14.2600,16.5100,238636500
2013-02-28,13.9700,14.9000,13.1600,14.2700,235243800
2013-01-31,12.0700,14.2000,11.9700,13.8900,306972100
2012-12-31,9.9900,12.0500,9.5000,11.8700,260632000
2012-11-30,9.6400,10.5000,9.2100,10.0000,186004300
2012-10-31,9.1200,10.4900,9.1100,9.6300,215469500
2012-09-28,8.6600,9.7000,8.4200,9.1600,200072700
2012-08-31,9.4900,9.9300,8.4550,8.6500,277357400
2012-07-31,11.1100,11.2500,9.0800,9.6500,265618800
2012-06-29,12.0200,12.0400,9.8900,10.9500,291373700
2012-05-31,11.1400,12.2500,10.0300,12.1000,292242800
2012-04-30,9.8800,11.1200,9.7750,10.9600,224817200
2012-03-30,9.8000,10.2800,9.0700,9.9150,277353800
2012-02-29,10.6800,11.5800,9.4000,9.8100,211720500
2012-01-31,8.2300,10.8799,7.8300,10.5500,264433700
2011-12-30,8.0400,9.1300,7.9300,8.0900,232763800
2011-11-30,8.2000,8.4950,7.0800,8.1200,263450700
2011-10-31,7.3850,8.9800,6.6400,8.5200,269119600
2011-09-30,7.5500,8.5700,7.0600,7.5000,242961900
2011-08-31,8.2000,8.2400,6.4100,7.5300,397106500
2011-07-29,9.2400,9.4100,7.2800,7.8900,318176700
2011-06-30,10.0800,10.1800,9.1000,9.1700,295128600
2011-05-31,10.6600,11.6000,9.9100,10.0800,331129700
2011-04-29,9.8900,10.7000,8.9100,10.3800,375167700
2011-03-31,11.2600,11.6400,9.7100,9.8000,452248800
2011-02-28,11.7500,12.1300,10.3700,11.2400,341922300
2011-01-31,12.6900,13.2100,11.1100,11.6700,324281300
2010-12-31,13.9600,14.1000,12.1500,12.6000,198093300
2010-11-30,13.9000,14.5400,12.8700,13.6800,206887700
2010-10-29,11.7500,14.1000,10.9600,13.8850,230192000
2010-09-30,10.8300,12.0000,10.4000,11.6400,163448700
2010-08-31,12.0800,12.8000,9.6000,10.4600,190329500
2010-07-30,11.9700,12.4000,10.4000,11.8800,214598200
2010-06-30,13.3100,14.5000,11.2400,11.7500,242373500
2010-05-28,12.3000,14.4800,10.9000,13.5800,291751900
2010-04-30,14.6300,14.9400,11.9500,12.0800,320889200
2010-03-31,12.9300,14.9000,12.3300,14.5900,236270900
2010-02-26,12.3700,13.2125,10.9300,12.9200,215161100
2010-01-29,11.2200,13.7300,10.9500,12.2300,334450000
2009-12-31,8.3100,12.0800,8.2000,11.3800,326898000
2009-11-30,7.1400,8.1900,6.7800,8.1900,155565700
2009-10-30,8.9500,9.2000,6.9200,7.1400,277153900
2009-09-30,7.1200,9.8800,6.7400,8.9600,317881100
2009-08-31,7.0400,7.7900,6.5500,7.2200,203721800
2009-07-31,5.8200,6.9500,5.5600,6.9300,236887900
2009-06-30,6.0900,7.2500,5.3100,5.7900,273395900
2009-05-29,6.2800,7.8800,5.4000,5.8100,285442300
2009-04-30,5.5200,8.2700,5.3600,6.1700,329175000
2009-03-31,4.8500,6.4500,3.5100,5.6300,302426500
2009-02-27,7.0900,7.6700,4.8600,5.0300,275129100
2009-01-30,11.3100,12.6500,6.7400,6.9000,268512000
2008-12-31,8.6000,11.6400,7.8000,11.4600,249927900
2008-11-28,11.1400,12.0000,6.2900,8.8100,255987000
2008-10-31,7.6400,11.9000,5.1000,10.9800,434949100
2008-09-30,9.3200,10.1000,6.4600,7.4500,413846300
2008-08-29,7.8100,10.2600,6.9200,8.1300,366022300
2008-07-31,5.4700,8.7900,4.0000,7.5400,414284600
2008-06-30,6.2500,7.0300,4.7970,5.7000,294082900
2008-05-30,8.6400,9.0200,5.3700,6.1500,217144800
2008-04-30,8.9500,10.8900,6.5000,8.5100,259364300
2008-03-31,12.6800,14.6000,7.9400,8.6000,145022500
2008-02-29,16.8000,18.9900,13.2400,13.3500,86989700
2008-01-31,14.7300,17.0000,11.5000,16.8200,123823500
2007-12-31,19.7500,20.0000,14.0400,14.8900,75324400
