carrier,year,month,arr_delay,arr_flights,av_delay,S_Date,open,high,low,close,volume,M_day,grow,grow_log,post_corona,decade,Fuel_price,fuel_del
DAL,2011,8,602931,66099,9.121635728225844,2011-08-31,8.2,8.24,6.41,7.53,397106500,31,-0.08170731707317062,0.9182926829268294,FALSE,1,2.996,-0.03229974160206717
ALK,2010,1,63346,10532,6.014622104063806,2010-01-29,34.82,37.95,31.24,31.34,11500600,29,-0.09994256174612293,0.9000574382538771,FALSE,1,2.054,0.0474247832738397
JBLU,2019,9,291681,24143,12.081390050946444,2019-09-30,17.22,17.53,16.25,16.75,103460741,30,-0.027293844367015034,0.972706155632985,FALSE,1,1.875,0.03192074848651627
JBLU,2013,2,268542,17767,15.114650757021444,2013-02-28,5.8,6.2085,5.7,6.05,57425500,28,0.04310344827586207,1.043103448275862,FALSE,1,3.229,0.05247718383311595
LUV,2003,7,637900,81608,7.816635623958436,2003-07-31,17.1,18.25,16.2,16.41,56945000,31,-0.040350877192982526,0.9596491228070174,FALSE,0,0.778,0.04289544235924936
JBLU,2019,2,491088,22398,21.9255290650951,2019-02-28,17.98,18.36,16.66,16.7,72696634,28,-0.07119021134593999,0.92880978865406,FALSE,1,1.894,0.07491486946651515
